Date,corn_it ,wheat_it,soybeans_it ,corn_us,wheat_us ,soybeans_us ,Brent Blend euro/Barrel,M1,M2,3 month,10 year,US/Euro
7-Sep-01,120.54,151.76,231.1,104.78,124.46,206.87,30.61,83.6,70.4,108.9,123.7,60.9
14-Sep-01,118.36,151.65,224.65,99.5,118.28,202.07,31.47,80.7,71.1,93.4,117.9,61.9
21-Sep-01,117.46,152.49,219.07,93.5,114.23,201.99,27.17,89.9,73.2,76.2,118.4,62.8
28-Sep-01,117.5,153.36,221.3,97.01,116.39,197.88,23.75,84.2,71.4,77.5,117.4,62.5
5-Oct-01,117.2,153.36,215.63,91.94,114.94,192.35,23.21,83.5,71.1,73.2,114.1,62.4
12-Oct-01,116.76,153.44,212.2,93.63,123.05,188.79,22.68,81.1,71.5,72.8,117.1,61.9
19-Oct-01,115.88,153.49,207,95.48,126.33,186.69,21.98,81.2,71.6,71.9,115.9,61.7
26-Oct-01,115.78,153.49,206.55,96.76,131.53,188.73,22.7,82.2,71.2,70.5,115.9,60.8
2-Nov-01,116.3,153.44,209.6,96.4,134.3,188.05,21.52,83.1,71,66.6,110.1,61.6
9-Nov-01,121.04,153.64,213.47,99.31,130.64,192.98,21.95,82.6,72,60.6,108.3,61
16-Nov-01,124.24,153.74,217,101.59,128.77,200.85,19.2,81.2,72.1,61.6,117.4,60.1
23-Nov-01,124.72,153.89,220.8,104.63,135.04,202.09,22.14,82.6,72.3,63.2,124.2,59.9
30-Nov-01,124.72,154.31,225.07,101.43,130.49,197.38,21.21,84.1,72.2,60.9,123.9,60.4
7-Dec-01,124.56,154.31,226.4,106.36,130.4,190.39,19.82,85.1,72.7,57,123.9,60.6
14-Dec-01,124.68,154.31,225.1,103.93,130.92,192.46,20.43,82.9,73.2,55,129.5,61
21-Dec-01,125.56,154.31,223.37,102.8,131.38,194.54,20.8,84.5,73.5,55.6,129.5,61.2
28-Dec-01,125.56,154.31,223.4,103.08,134.24,194.28,22.41,86.4,73.2,56.3,130.2,60
4-Jan-02,127.74,154.39,224.5,101.29,133.17,188.88,23.46,88.8,73.4,56.3,129.7,61.1
11-Jan-02,133.18,156.04,223.6,104.06,140.27,197.95,22.35,85.5,73.8,54,127,60.7
18-Jan-02,135.78,156.49,231,105.02,138.47,200.19,20.59,83.7,73.4,52.3,123.9,60.4
25-Jan-02,135.8,156.49,233.5,105.54,137.37,198.18,22.07,84.1,73,55.6,127.2,59.8
1-Feb-02,132.38,156.67,231.63,104.67,135.36,197.41,22.87,84.1,72.4,57,127.2,58.7
8-Feb-02,130.6,156.58,228.7,103.72,131.06,195.27,22.99,84.2,73.2,57,123.9,59.2
15-Feb-02,131.76,156.58,224.1,104.35,131.59,198.7,23.76,82.1,73.3,57,124.4,59.6
22-Feb-02,132.74,156.47,222.5,104.87,128.96,199.63,22.93,83.7,73.4,57.3,122.7,59.5
1-Mar-02,132.62,156.33,219.17,102.29,130.5,201.52,25.19,84,73.2,57.6,123.4,59.1
8-Mar-02,131.72,155.33,218.83,102.48,128.85,203.41,25.28,84.5,73.9,58.3,129.2,59.6
15-Mar-02,131.46,154.41,218.5,102.72,126.71,204.95,26.86,83.3,74.1,59.9,134.5,59.9
22-Mar-02,130.76,153.17,218.17,102.06,133.27,203.88,28.28,84.5,74.1,60.3,135.3,60.1
29-Mar-02,130.76,152.06,220.5,103,138.7,210.06,28.83,85.1,73.6,59.3,135.5,59.5
5-Apr-02,131.42,151.3,223.33,100.96,133.09,205.34,29.56,86.8,74.2,57.9,134,59.9
12-Apr-02,132.56,150.47,219.67,100.18,128.89,203.49,26.35,83.5,74.6,56,131.5,59.9
19-Apr-02,133.06,150.58,220.67,97.91,128.6,205.92,28.51,84.1,74.8,56.3,131.2,60.4
26-Apr-02,133.72,150.58,224,96.77,123.07,202.13,29.94,85.4,74.2,56.3,129.2,60.8
3-May-02,135.56,150.58,223.5,92.67,117.71,196.7,28.36,85.9,73.3,57.6,128.7,61.7
10-May-02,135.96,151.02,219.67,96.61,121.09,200.78,28.99,83.4,73.8,57.6,130,62.1
17-May-02,135.66,153.56,224.5,101.63,123.85,209.98,27.79,82.4,73.8,57.6,132.5,62
24-May-02,136.8,153.69,226.83,99.73,122.98,210.14,26.31,83.9,73.8,57,130.2,62.8
31-May-02,141.06,153.94,227.83,96.46,117.62,211.67,25.43,85.1,73.5,57,128.5,63.6
7-Jun-02,142.66,155.12,227.67,97.57,117.59,210.11,24.61,86.4,74,57,127.5,64.2
14-Jun-02,141.36,157.04,225.33,94.91,114.94,205.07,25.42,82.9,74.4,56.6,125.2,64.4
21-Jun-02,141.4,147,224.75,94.99,118.88,201.71,24.98,83.9,74.6,56.3,121.7,65.2
28-Jun-02,148.1,122.5,221,96.86,113.82,210.7,25.37,84.7,73.9,55.6,121.9,66.8
5-Jul-02,151.26,120.92,221,102.02,123.55,227.17,26.51,86.7,74.3,56,121.7,66.9
12-Jul-02,146.22,126.66,208.35,99.69,121.14,224.5,26.19,84.1,75,56,118.6,67.5
19-Jul-02,150.06,125.77,207.93,97.98,126.21,227.7,25.79,83.9,74.9,56,117.9,68.8
26-Jul-02,170.62,124.18,163.05,101.59,125.1,213.03,25.18,85.1,74.6,55.3,112.6,67.9
2-Aug-02,181.86,123.14,160.83,100.98,121.7,218.74,25.84,86.5,74.6,55,113.9,67
9-Aug-02,180.45,123.23,193.87,109.35,131.71,220.84,26.08,83.6,75.5,52.6,109.6,66.2
16-Aug-02,126.77,123.23,221.92,113.7,135.09,231.49,27.24,81.9,75.5,53.3,105.3,66.9
23-Aug-02,131.48,124.59,212.52,114.09,130.63,222.23,28.41,83.4,75.4,53.3,106.8,66.5
30-Aug-02,136.06,126.45,211.76,114,137.32,219.43,27.79,84.7,75,54.6,106,66.8
6-Sep-02,129.56,128.41,227.84,115.71,144.58,220.05,28.94,86.9,75.5,53.3,100.3,67.5
13-Sep-02,123.26,130.41,228.07,121.6,162.56,223.51,29.02,82.5,76.1,55,100.8,66.5
20-Sep-02,119.66,132.14,235.5,117.52,159.42,225.57,28.77,82.9,76.1,54.6,96.7,66.6
27-Sep-02,123.26,133.05,235,112.12,159.13,223.65,29.61,83.5,75.3,53.6,94,66.7
4-Oct-02,122.86,133.73,230.67,110.75,154.57,212.31,29.21,86.2,75.3,51.3,92.9,67.1
